"neighbourhood_cleansed";"obs";"mean_price";"sd_price"
"1";"Copenhagen C";1289;142.34015144321;47.9516957135341
"2";"Copenhagen E";1907;121.846493330726;48.6019391449906
"3";"Copenhagen N";4423;113.221826435354;44.7653740661194
"4";"Copenhagen S";3077;118.935959888008;47.476527922233
"5";"Copenhagen W";2025;134.528477096619;43.1506484281982
"6";"Frederiksberg";1957;127.871511564624;47.649381940273
"7";"Greater Copenhagen";696;109.313125296447;52.3442602846563
"8";"Valby";692;107.223052066734;43.7874717372908
